Name,Commune du candidat,Maire sortant de,Photo,Articles
Jean-Baptiste Luccioni,Pietrosella,Pietrosella,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/XKrkJy15Q1IecADePlNiFA/QKluZb97zaru06MEagn-dpov0jqjNFqY8xBpV2mTsCmgzqhvQ0MMS23JxZfcp9mrwZJFddBoKIOtQ4Wm_U15N6WIYrUudihTXJqmXanxND2jnGnmvCt5F1O_YqzpGZTzD0hTPOkjRJMdFx7uQE5abA/V8vxw3FOBADhzDYkSUXUTKxGPoCpstUkw1kGIwENoIw),
Gustave Tallarico,Peri,,,
Maria Guidicelli,Morosaglia,,,
Vincent Cognetti,Morosaglia,Morsiglia,,
José Galletti,Lucciana,,,
Laurent Galluci,Levie,,,
Georges Gianni,Lecci,Lecci,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/nMMHxMh8foh8rfWceXeytg/C9b-lTCDHgewxEYfb8ozAQ8R9FvVIcEAgVDJZkVFzbVyCDvm2ljR2fcpr9qJjwOSHIDTOKwOvkPSas_QvP35Mu65Ceg6PBc0qYzW9LRIkHbgTTf6RJTEQjF7TCyZieUOmUbGNRvBAm8EqvTx-Ly7rA/UR2oPAjaz5SqF1y-HCGFhxWje1fIKGbYHLNoHhEW3yk),
Pierre-François Bascoul,L'Île-Rousse,,,
Angèle Bastiani,L'Île-Rousse,Isolaccio-di-Fiumorbo,,
Paul Bozzi,Grosseto-Prugna,,,
Enzo Martel,Furiani,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/b5eVkWQh33ry5R5kAcaKpw/IqRqXv4qAOSU9QWtyN4Lu3R3t-8GChlcV-u3rqibxo843QfTV1VMXhE73i5mpnTxdgstss7R-PG4jUq9L46uIHVUEke9bGuz2fIH0Nc1LaaCmiOZNJZjoLf-ZZ4KY4ByejddERF0gsAakIVTLGHWqQ/Xu5B7GmpG_4DmFAlyl8zQyl5kDzoY_1ARQWBBwMbHxg),
Paul Corticchiato,Cuttoli-Corticchiato,,,
Jean Biancucci,Cuttoli-Corticchiato,Cuttoli-Corticchiato,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/feaX7mxdDLM04COwMMYAmA/98FTnPg8ivHXa1riL2puF_sodQXi1Wt329bipEEG_TMIChBlYftaF1F9h0aZ2IS0tePzc1qIXK1ArsbZHCuS8WzlC3XDU1jCq6xeWhVfnc7sP50v4D6nKlQvZCYgtwjJeb9-j2A0Dzvc0TbHeGIZHQ/W5NJMr4ME55EreBeQqGgcdFPM87I4JIAu14QYA2eLIc),
Jérôme Alessandri,Cargèse,,,
Stéphane Zanettacci,Cargèse,,,
Jean-Claude Donzella,Cargèse,,,
Jérôme Seveon,Calvi,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/i6EwwAfCEAkaS7ZsTeHHuQ/9jipKysW0TZ67vVzkyDhRn5OQJbsTPUKzXX23jAHlmCl4CB4yvsJt-cE4VOCuHtE3F7FzWOQ35WLVCBWP1cYD4uw7JNgY7AuN6iLsTtzY6lQNMDk48WYMKBEsPsagWIYNc7zqmys4bkhsjBVoTV_cA/SVb_Eyry8t1SknVo3Xx81I8laQI50nroT-edfS323uM),
Ange Santini,Calvi,Calvi,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/oPzfdDG0d1Xb51id52snbg/EIaHa1m6yerUVO7vuhch-1M-Guqx-Zkbnv6i-6zqLcy7nW6d3OnjJkDnK95brW38oInYbgQKOiM6yh-HaB_w0AFEuPwUXIuc8oUyCYABLh1IwB_p-nAKBvaJW_l6_-Usu397MCX3UQqNh5bGcVx3Vw/kOX-yb8Ds42qdb_e0ThK3S83RzuIrxJLPvD8nfuOwQU),
Jean Dominici,Borgo,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/0wHzFwNA9SgTmME2rKBnjw/_zXSvaFFxp2gc86N444p-L4-biC2cYUs52HflnPn27-U-399zi4pVlqsOeOS1tGwRAYRhig7IkbIbJuMzmbrpU8NIxSoTaHXQnI6m2RV53NUwinSUpqW_uqgS-UOA7B618Y6zF5RGUo5n9zTpUWmnw/CklUQwkb1bTAeRRhPAKKqn7z7QZFRoeGmiBjj_U8bXw),
Jean-Charles Orsucci,Bonifacio,Bonifacio,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/2u4XFjNygsGx-opztWWKyg/IT__fK-_CYRyH6OhaF0bUVXFXOuFl2C75VfeCGnVvw8lIsBmAxgCac7IwhkUUyBKEoI9SS6Fk6j36CiBmyKKdSnGury5jmucyGFa_xt3L0t2MFEGEmxxshdZmgetohlPy2NZ6dDDp5nOkXMuLdL5eA/omasCsQ4cECAW1h-g3M-zBa-ALfc1sqiafCLZHZFuDU),
Paul Alfonsi,Biguglia,,,
Jean-Charles Giabiconi,Biguglia,Biguglia,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/gnLVPhDi3OLMf1s1MlYUqA/uKHX4L00TUZPZVhfUTbu4wqRBV1HHg7v4UXrYmW3hcgj5VkWBJf4b5yrkYW5QbmfyW8fHzdZC02spWddJ7UuhPcII1nezqlDdYUtYd1c8okuV1BmYWqVI70lDRfPS2AKfpZd9pi6xuwNrUwuLB6fWA/Kh6HoMV2cNQZboZpOnprf0WVOXLKBrfueFN4IUNLQiU),
Gilles Simeoni,Bastia,,BASTIA Gilles Simeoni.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/tZLeBh5Ci4RYFaPEtvjRHA/WUqZ1wlDT7Hk1ioXvk8k2fuEvmKsL-JmUwfjfdHYksb7L27Gjber6bpaQFTdFe793NpuEXFiQuJrbhHRRDeIepn48rro3wbyW7Vh3Cl2QP55H8HEgAXH5UUGpBfH5x87jYdgd7wxA52wdHxOfcN34-iNB0abibuiCzdKK-VFwWc/53Hj9QAN35Ihd_H-DSGW1dljEIlDExwDV1_U5Ud-osg),
Julien Morganti,Bastia,,BASTIA Julien Morganti.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/etxmh38HkdvT-uez7VxQFg/0c8E9BLdj_DJzcPbjAgR-KCgK8wHZwGoja5QdPxAo4xe7drZ5lFQPajGGDrIsszjadwmpU5hlDuyeUIAzLrNlGAp0Bj7Rca9VDjmPfku9LIaWsIffkzWpWeziN-aVfggo1iy2QQZUni296tBhBYd0Q89buJyGGa6WjBMOJdP3s0/V9nkBgwvEpzXEFd7t_5s0Gm52WJFEocaw8qM-p_wuLs),
Nicolas Battini,Bastia,,BASTIA Nicolas Battini.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/g--FEXQcFDauuD3exM3fIw/WDeXa_L_BYdEZLWFkgVYwvBPUy7TaQh_GoqOO0sytu3VOAR9V1-NwAqsxR3l-sfTzojDFQTlm7k0BBvMu5C2sV1PIYyQ0dAJ515VzYgOCx5OLIiXagxg9SZs5zUAxcapgHarOlijpEL96RAieqSLDxXIYUKdByAQBPtJLAAo6z8/Q0EKiLCJg3kvOFP1k3_wQOFCK6R_FYBGC2H9ktMpI1s),
Jean-Martin Mondoloni,Bastia,,BASTIA Jean Martin Mondoloni.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/CPCI_RaJ_P04hd5AFkelkQ/TB3gAShUde48ql1ZWxCidiykmpvGlB_uEHf2CxX_Qm7ZymKtTkQm7mWY7FQ1cQT5ZDbLM8yrj8gdN2QotqB02h7UGmHUBW7BGsSPBVTiKf88HRF72ppIW9Gq3TEx6GXlCo_Y1-bTZjCI3TvDW5PZuGHgfeOeA_zQKAaEz9eHt7K1rp0C6LrSdDnA5q-bYxo2/OYyqIye2shQxItiNnWJpO0oXRnq0UV38Xq6I8ie-t6E),
Francis Riolacci,Bastia,,BASTIA Francis Riolacci.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/rDDBoturdV0ppdBPIh_-2Q/PoW4XBEysVBsk6VC5KIcHK-JjqBuO85IrNFCnEqYT4zk83Zo0adkWjOEWiHWy9uEGbkQS3UdTs2wawhEoF9WJvWftUGbyeZatRKrlFqv0e1Lzd32QNr9TMKszd9XubnetvIrvGOJv9bICjk482jqRkHihNh6uiQIaa1S_rMVzffmRoqqTLuGru_BFcDBbzvy/FCE9kd9vINjSobatChAVlgtHNkVdjzVPaAuzdx9Yo8M),
Sacha Bastelica,Bastia,,BASTIA Sacha Bastelica.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/wvej1Ge-RMzFhe2_gH1JoQ/C0WyNBuZvcEM5OH9o89Cb0IIFqMf3PnMwUWpK5MdK8MI2ok_LnUYAFlFD8v-UjNDOR-LfkBq_-LVTDwT9kKfn2O5JWjKMnUeZW6n8hC23njQN45tdozPLxu2GpK7XIbQM6YRzXiZiZHL5A4JWqMqnNwHk_K0_l_6PFbRKCxDWV8/J5zxkB3PnvWIvGZrxmR1bJ7_gylVvxY-ZnPSL0C_Dr8),
Félix Bruschi,Bastelicaccia,,,
Michel Piferini,Bastelica,,,
Jean Pittiloni,Bastelica,,,
Étienne Ferrandi,Alata,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/ezZvCU02RWRIrs-q64Olpg/CVDOmtzfSK-Hd_bJ2dLfWGawzoncql7vvkFpCz93uQVoyFuuy3ByEqunC16lEgDCCkcC_XqdERwiKAo1NbleDlTFkDnKwRyixAaRbuSk5iS5VS-MMAEkA9ryh0WYcrDCT4i9Y0oMU74yid4AuyCByg/iwS3-zjtX5l7wKao4sT5nfqSjSeLbQ72g7z8iYlRD_s),
Véronique Pietri,Alata,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/yXH-_3H4kAQpPIusQmoBQw/YPTLlsUHLbbLhlBSWIqDAHy5q0ON8ItrJE6mtNmqEz7uvb6rZ2b2gFo_1oL1RXh2MEkndPZVpEzcA6RnyWnNoSDpKCsEb2KfZlkXAZwLuzgtikZT8hqTDSUqChla5DijGjaVk8fLZNhmZPgp2kRFLg/zx6PAphnILtnWFy5h8iuOnITF1lGT4-N1DjmJnOJ57U),
Jean-Paul Carrolaggi,Ajaccio,,AJACCIO Jean Paul Carrolaggi.pg.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/Vq5emgkOBwVOAORPT-bgJw/JX_zaCw5rsS_DU2Z-N3A7WaOigt0ftwuLfOu-drncVV-vJZ3g7xIFVpgm5knysqi2CjLhy3C-Tz373aqyMWC0Evzn_C2A7zgnQk5WcGSYbitbgZs81eFhatC9NZKBGW_Le0PyhZytJBLsYQoS5s2zLoRIejUao4x0KOvQcVGI0sP_lIGICqYJAT8z6wAUntC/qfD26Qc0hl19ADrxoSRaL0Wj3OdqoVszfiQlSnDZAEQ),
Philippe de la Foata,Ajaccio,,AJACCIO P de la Foata.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/MG3LLIWA3w7WeQ_MUWW3kQ/cZQWVUc1J5KRhSVAs-GfGAMj6yPMA--MZ9ub6XYcrLE4x7KmcXH8ciFnIxKK-ukFquPmoCcd1o1ZUqj_HTiXuzamsPRaER7s1YJxSR9bZ3UP0fi_Dw0WFnjOUjldJFsK1olMURYj7zliw4pdivp0pEvH-ol424NMUYMEmInm05I/wmTOwyZICdSR3n5pzoKY0TRlpKaKD3gCpJU74AVZCBc),
Pascal Zagnoli,Ajaccio,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/2f0sdP1dXGHbv3lgjI78hg/9Uxj_lKiDiYOAjt9Lm5VltS7PDwejw82qTf8Wz5HXePEuGH-4BLK1OGXV5ltaog6_xUUjLCgbfa3IF6EqzdD6QBD2BKIErw-JyqbnqL6WFxYe8QORlVgHBMViMqWkeKlciqZ_exu3Cf8YBPpMSvfSw/S3va9XMFkeNMgbO8XdgQIEa7Np_ce8HydCPZlq4aQWw),
Charlotte Cesari,Ajaccio,,AJACCIO Charlotte Cesari.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/xjW5icC6B8cZw2i_kWQvXA/vq43_V8p18q8awibIgE_DR0uH2p0__QSC5zZR14dEzIHvA3g1zcJF1zsDAtWCzpW87Nl4KL4HHulBQTHew07nUP5yPxMDRD01sRWpWNTVfJMxXGYw24Nuim__cBJe1bGJfB7QqOvyCf6sBnDuj8Mc6HPw6xVV6Pt3Frxdo-Zah7RgSTwx9mqTvEEAITVj2-P/nGWPM4qw6-7my8pQJx-ci-oOHdHtIRfZ5rPAUqBjvQA),
François Filoni,Ajaccio,,AJACCIO Francois Filoni.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/G_8kTwvywpUsmO05OTT2ZA/7yv43S0s8fMwA1TAfVmTM6OGJfWGHfQqY2jzm6kpC7_D3G2kjjejr8_rJzxaE8SHrwH_Nw5kcWcJzD1LqM9pNm50hRZYxlT0hIa4tm-1AoWrFULsC2BwLnxGiwj6Xp9oQeDfv6SjbLf34NiBKLrHTQO5oc8tuAF2nbw8-tE34Nw/DPXa3Tq62jgGHntbQTmVGwnskojCiFZRlYIWYs9GPso),
François Casasoprana,Ajaccio,,AJACCIO François Casasoprana.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/Tgd7QkgG5TZyybb1mNx1-w/tYbJheFaFAkHtHjJGJSfn_iV32jl5Mh13YAgESuDyUycQ1cToKxUEMeEGISnkg9x8DlHa-_5LQ3z9ja1nfS-1UkaKaWwC05HTAzYZqX6IGwWuA173kPoKsXsl0Sm6-1R3_UAmcOz9kFpKBy0P141ypAR6ImH_-IzB5Arpdl7074-zS5Gqpl7g9OMXfNKPBA4/7Rdutyh-hmtFXE62Vie-0ZKMAI2MqnV0952LXpFks3Q),
Stéphane Sbraggia,Ajaccio,Ajaccio,AJACCIO Stephane Sbraggia.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769997600000/kAYVKEEWYFNa22HB6AaH0A/q_-anVHNrr8yAh0e6w6YQ8VxgMqd2e5ZpZkZUqS5WlEVH1xN2QZFBtjluZ93zL62Av1zGbVOqpQAu5GMWZdf7wHllZ1X8oDYGkarPWs1JUhO_U6Kv1yaCMLF2rLPCyLL_6qiKA4dBLBn5qePR5CtGhvL4tVvso7s7mZpu5hQwuL48Ms_RHHpc0pKAyqW2Aea/RXFlRe-3nnQefY8M6ghUm9oWwlifN6q4gYjg3y6AAME),https://france3-regions.franceinfo.fr/corse/corse-du-sud/ajaccio/municipales-a-ajaccio-decouvrez-les-noms-des-colistiers-de-stephane-sbraggia-maire-sortant-et-candidat-a-sa-reelection-3290427.html
Ange Pascal Miniconi,,Afa,,
André Casanova,,Aghione,,
Pierre Orsoni,,Aiti,,
Guy Mamelli,,Alando,,
Etienne Ferrandi,,Alata,,
Pierre-François Albertini,,Albertacce,,
Pierre-Paul Luciani,,Albitreccia,,
Jean Claude Franceschi,,Aléria,,
François Rossi,,Algajola,,
Toussaint Simonpietri,,Altagène,,
Jean-Yves Bussetta,,Altiani,,
Simon Venturini,,Alzi,,
Jean Poli,,Ambiegna,,
Pierre François Dompietrini,,Ampriani,,
Anthony Alessandrini,,Antisanti,,
François Faggianelli,,Appietto,,
Marie-Antoinette Rotily Forcioli-Carrier,,Arbellara,,
Paul Chiappella,,Arbori,,
David Calassa,,Aregno,,
Paul Caitucoli,,Argiusta-Moriccio,,
Christian Angelini,,Arro,,
Bernard Franceschetti,,Asco,,
Pierre Castellani,,Aullène,,
Marie-Josée Salvatori,,Avapessa,,
Marie Chiarisoli,,Azilone-Ampaza,,
Thierry Leca,,Azzana,,
Dominique Grisoni,,Balogna,,
Etienne Marchetti,,Barbaggio,,
Dominique Baccarelli,,Barrettali,,
Jean Baptiste Giffon,,Bastelica,,
Antoine Ottavi,,Bastelicaccia,,
Pierre Savelli,,Bastia,,
Lionel Mortini,,Belgodère,,
Don Georges Simeoni,,Belvédère-Campomoro,,
Christophe Graziani,,Bigorno,,
Michel Tramoni,,Bilia,,
Pierre-Felix Olmeta,,Bisinchi,,
Achille Martinetti,,Bocognano,,
Anne Marie Natali,,Borgo,,
Patrick Sanguinetti,,Brando,,
Pierre Taddei,,Bustanico,,
Catherine Catoni,,Cagnano,,
Mathieu Acquaviva,,Calacuccia,,
Charles Chiappini,,Calcatoggio,,
Pierre Guidoni,,Calenzana,,
Nicolas Saliceti,,Cambia,,
Françoise Campana,,Campana,,
Ghislaine Pietri Filippi,,Campi,,
Jean-Marie Vecchioni,,Campile,,
Jean Mazzoni,,Campitello,,
Joseph Quilici,,Campo,,
Jean-Charles Castellani,,Canale-di-Verde,,
Simon Gassmann,,Canari,,
Jean Félix Pasqualini,,Canavaggia,,
François Paravisini,,Cannelle,,
Jean Nicolaï,,Carbini,,
Pierre-François Bellini,,Carbuccia,,
Emilie Albertini,,Carcheto-Brustico,,
Nora Ettori,,Cardo-Torgia,,
François Garidacci,,Cargèse,,
Don Jacques De Rocca Serra,,Cargiaca,,
Marcel Ferrari,,Carpineto,,
Jean Renucci,,Carticasi,,
Fernand Vincentelli,,Casabianca,,
Ours Alfonsi,,Casaglione,,
Vincent Micheletti,,Casalabriva,,
Paul Jean Innocenzi,,Casalta,,
Pierre-Marie Geronimi,,Casamaccioli,,
Thierry Cambon,,Casanova,,
Jean Toussaint Paolacci,,Casevecchie,,
Marc Marie Filippi,,Castellare-di-Casinca,,
Mathieu Giudicelli,,Castellare-di-Mercurio,,
Frédéric Soustre,,Castello-di-Rostino,,
François Orsini,,Castifao,,
Jean Marcel Bertini,,Castiglione,,
Jean Marc Giamarchi,,Castineta,,
Jacques-André Tomasini,,Castirla,,
Dominique Andreani,,Cateri,,
Pascal Leccia,,Cauro,,
Pierre Rimattei,,Centuri,,
Marc-Antoine Nicolaï,,Cervione,,
Pancrace Maurizi,,Chiatra,,
Michel André Galinier,,Chisa,,
Charles Venturelli,,Ciamannacce,,
François Coggia,,Coggia,,
Ange-Marie Aliotti,,Cognocoli-Monticchi,,
François Mosconi,,Conca,,
Paul Lions,,Corbara,,
Antoine Peraldi,,Corrano,,
Jean Félix Maestracci,,Corscia,,
Barthelemy Colombani,,Costa,,
Félix Peretti,,Coti-Chiavari,,
Jean Ciccolini,,Cozzano,,
Antoine Versini,,Cristinacce,,
Jean-François Mattei,,Croce,,
Pierre Pascal Piacentini,,Crocicchia,,
Pierre Poli,,Eccica-Suarella,,
Mathieu Mariani,,Erbajolo,,
Stéphane Gillet-Vittori,,Érone,,
Thomas Micheli,,Ersa,,
Jean Jacques Gianni,,Évisa,,
Ange Cherubini,,Farinole,,
Lucie Albertini,,Favalello,,
Lucien Panier,,Felce,,
Gérard Francisci,,Feliceto,,
Alexandre Gambotti,,Ficaja,,
Jean Giuseppi,,Figari,,
Pierre Cianfarani,,Foce,,
Jacques Leca,,Focicchia,,
Rémi Casanova,,Forciolo,,
Mireille Istria,,Fozzano,,
Paul Antona,,Frasseto,,
Pierre-Michel Simonpietri,,Furiani,,
Jean-Marie Seïte,,Galéria,,
Gilles Pasqualini,,Gavignano,,
Francis Giudici,,Ghisonaccia,,
Don Marc Albertini,,Ghisoni,,
Grégory Biaggi,,Giocatojo,,
Patrick Laurent Marchioni,,Giuncaggio,,
François Paolini,,Giuncheto,,
Jean-Yves Leandri,,Granace,,
Mathias Costanzo,,Grossa,,
Valérie Bozzi,,Grosseto-Prugna,,
Paul-Joseph Colonna,,Guagno,,
Paule Casanova-Nicolaï,,Guargualé,,
Pierre Nonce Lanfranchi,,Guitera-les-Bains,,
Antoine Francois Rodolphi,,La Porta,,
Pascal Biaggi,,Lama,,
Attilius Ceccaldi,,Lano,,
Pierre Leschi,,Lavatoggio,,
François Croce,,Lento,,
Angèle Chiappini,,Letia,,
Alexandre De Lanfranchi,,Levie,,
Alain Mazzoni,,Linguizzetta,,
Pierre Nebbia,,Lopigna,,
Séverin Medori,,Loreto-di-Casinca,,
Jean Arrii,,Loreto-di-Tallano,,
Jean-Charles Angelini,,Lozzi,,
François Acquaviva,,Lucciana,,
Joseph Galletti,,Lugo-di-Nazza,,
François Benedetti,,Lumio,,
Etienne Suzzoni,,Luri,,
Anne-Laure Santucci,,Manso,,
Mathieu Ceccaldi,,Marignana,,
Pasquale Simeoni,,Matra,,
Michel Palmieri,,Mausoléo,,
Jean Toussaint Antonelli,,Mazzola,,
Albert Mondoloni,,Mela,,
Michel Ciattoni,,Meria,,
Patrice Istria,,Moca-Croce,,
Laurence Piazza,,Moïta,,
François Dominique Gozzi,,Moltifao,,
Marc Luciani,,Monacia-d'Aullène,,
Jacques Costa,,Monacia-d'Orezza,,
Pascal Fantini,,Moncale,,
Jean-Baptiste Filippi,,Monte,,
Jean François Mattei,,Montegrosso,,
Jean-Marc Borri,,Monticello,,
Joseph Mattei,,Morosaglia,,
Marie-Josée Pieralli,,Muracciole,,
Chantal Peraldi,,Murato,,
Claude Flori,,Muro,,
François Paoli,,Murzo,,
Jean-Baptiste Moretti,,Nessa,,
Jean-Michel Pinaud,,Nocario,,
Paul Battesti,,Noceta,,
Fabien Arrighi,,Nonza,,
Jean-Marie Dominici,,Novale,,
Antoine Tramini,,Novella,,
Jean Muraccioli,,Ocana,,
Jean Louis Massiani,,Occhiatana,,
Stéphane Orsoni,,Ogliastro,,
Jean Toussaint Morganti,,Olcani,,
Julia Labadie,,Oletta,,
Jean-Luc Antoine Millo,,Olivese,,
Jean Pierre Leccia,,Olmeta-di-Capocorso,,
Mireille Boncompagni,,Olmeta-di-Tuda,,
José Mozziconacci,,Olmeto,,
Pierre Agostini,,Olmi-Cappella,,
Roméo Adorni,,Olmiccia,,
Frédéric Mariani,,Olmo,,
Fortuné Felicelli,,Omessa,,
Jean-François Filippi,,Ortale,,
Antoine Defendini,,Ortiporio,,
Nicolas Rutily,,Orto,,
Gisèle Colonna-Pan,,Osani,,
Pierre Paul De Pianelli,,Ota,,
Pascal Sarti,,Palasca,,
Pierre Santoni,,Palneca,,
Jean-Paul Guerrieri,,Pancheraccia,,
Paul Angeli,,Parata,,
Christian Cardi,,Partinello,,
Stéphane Leca,,Pastricciola,,
Laurence Leoni Maziere,,Patrimonio,,
Jean-Baptiste Arena,,Penta-Acquatella,,
René Gattacceca,,Penta-di-Casinca,,
Yannick Castelli,,Perelli,,
Baptiste Xavier Lacombe,,Peri,,
Christiane Vinciguerra Cerami,,Pero-Casevecchie,,
Jacques Nicolaï,,Petreto-Bicchisano,,
Pascaline Castellani,,Piana,,
Jean-Louis Giancoli,,Pianello,,
Jean-François Paoli,,Piano,,
Charles Bianconi,,Pianottoli-Caldarello,,
Jean Sauveur Vallesi,,Piazzali,,
Marc Tartuffo,,Piazzole,,
Paul Jean Emanuelli,,Pie-d'Orezza,,
Toussaint Filippini,,Piedicorte-di-Gaggio,,
Jean Marie Antonetti,,Piedicroce,,
Pierre-Ange Sency,,Piedigriggio,,
Nicolette Albertini-Colonna,,Piedipartino,,
Nicolas Mazzoni,,Pietra-di-Verde,,
Jean Baptiste Santelli,,Pietracorbara,,
Alain Burroni,,Pietralba,,
José Sauli,,Pietraserena,,
Bernard Vannucci,,Pietricaggio,,
Bernard Marchetti,,Pietroso,,
François Martinetti,,Piève,,
Antoine Signanini-Pieve,,Pigna,,
Emmanuel Guglielmi,,Pila-Canale,,
Jérôme Casalonga,,Pino,,
Francis Mazotti,,Piobetta,,
Pierre Lorenzi,,Pioggiola,,
Antone Casanova,,Poggio-d'Oletta,,
Antoine Vincenti,,Poggio-di-Nazza,,
Jean-Noël Guidici,,Poggio-di-Venaco,,
Jean-Marc Rodriguez,,Poggio-Marinaccio,,
Pierre Orsini,,Poggio-Mezzana,,
Jean-Laurent Pinelli,,Poggiolo,,
Maurice Chiaramonti,,Polveroso,,
Jean Etienne Frisoni,,Popolasca,,
Lucien Costa,,Porri,,
Pierre Nasica,,Prato-di-Giovellina,,
Paul-Marie Marc Bartoli,,Propriano,,
Christiane Mariotti,,Prunelli-di-Casacconi,,
André Rocchi,,Prunelli-di-Fiumorbo,,
Charles Felix Giacomi,,Pruno,,
Paul Antoine Bertolozzi,,Quasquara,,
Roselyne Balesi,,Quenza,,
Paul Louis Giannecchini,,Quercitello,,
Stella Pieri,,Rapaggio,,
Jean-Claude Fondacci De Paoli,,Rapale,,
Xavier Luciani,,Renno,,
Paul-François Pomponi,,Rezza,,
Marcel Cesari,,Riventosa,,
Patrice Quilici,,Rogliano,,
Xavier Poli,,"Rosazia, Corte",,
Paul Peraldi,,Rospigliani,,
Ange Toussaint Rocchi,,Rusio,,
Dominique Maroselli,,Rutali,,
Claudy Olmeta,,Saint-Florent,,
Jules Bartoli,,Sainte-Lucie-de-Tallano,,
Jean-Pierre Giordani,,Salice,,
Antoine Simonpietri,,Saliceto,,
Marie-Jacqueline Santi,,Sampolo,,
Etienne Giudicelli,,San-Damiano,,
Félix Tambini,,San-Gavino-d'Ampugnani,,
Bernard Balesi,,San-Gavino-di-Carbini,,
Philippe Vittori,,San-Gavino-di-Fiumorbo,,
Christian Tomi,,San-Gavino-di-Tenda,,
Carine Franchi,,San-Giovanni-di-Moriani,,
Marie-Ange Orsini,,San-Giuliano,,
Jérome Negroni,,San-Lorenzo,,
Marie-Thérèse Olivesi,,San-Nicolao,,
Dominique Rocca,,Sant'Andréa-d'Orcino,,
Jean-Pierre Brunel,,Sant'Andréa-di-Bozio,,
Stéphane Domarchi,,Sant'Andréa-di-Cotone,,
Roxane Barthelemy,,Sant'Antonino,,
François Sorenti,,Santa-Lucia-di-Mercurio,,
Vincent Antomarchi,,Santa-Lucia-di-Moriani,,
Guy Armanet,,Santa-Maria-di-Lota,,
Guillaume Guglielmi,,Santa-Maria-Figaniella,,
François Mela,,Santa-Maria-Poggio,,
Réjane Leca,,Santa-Maria-Siché,,
Marcel Torracinta,,Santa-Reparata-di-Balagna,,
Paul Pascal Silvagnoli,,Santa-Reparata-di-Moriani,,
